category,Food Name,calories,protein,fat,carbohydrate,Food_Exchange
meat(medium fat),"까나리, 생것",113,16,4.8,0.3,50.0
meat(medium fat),"꽁치, 말린것",175,22.7,8.6,0,35.2
meat(medium fat),"꽁치, 염장",175,20.1,9.8,0.2,39.8
meat(medium fat),"꽁치, 조미통조림",183,19,10.3,2.4,42.1
meat(medium fat),"눈퉁멸, 생것",136,18.5,6.2,0.4,43.2
meat(medium fat),"다랑어, 참다랑어, 생것",175,23.99,8.09,0,33.3
meat(medium fat),"다랑어, 참다랑어, 유지통조림",191,22.31,10.6,0,35.9
meat(medium fat),참다랑어 샐러드,187,16.04,9.26,9.41,49.9
meat(medium fat),"대구, 빨간대구, 생것",95,12.6,4.3,0.7,63.5
meat(medium fat),"대구, 은대구, 생것",127,13.1,7.9,0,61.1
meat(medium fat),"도치, 생것",61,7.2,3,0.9,111.1
meat(medium fat),"돔, 샛돔, 생것",120,16.3,5.5,0.2,49.1
meat(medium fat),"돔, 참돔, 삶은것",206,22.2,11.9,0.1,36.0
meat(medium fat),"돔, 참돔, 구운것",210,22.7,12,0.1,35.2
meat(medium fat),"동자개(빠가사리), 생것",146,15.4,8.8,0.2,51.9
meat(medium fat),"둑중개, 삶은것",122,15.8,5.8,0.2,50.6
meat(medium fat),"메기, 생것",113,15.1,5.3,0.1,53.0
meat(medium fat),"멸치, 생것",125,17.7,5.4,0.3,45.2
meat(medium fat),"멸치 볶음, 멸치풋고추볶음",266,23.3,11.2,17,34.3
meat(medium fat),"멸치 볶음, 잔멸치볶음",347,31,12.6,26.2,25.8
meat(medium fat),"물치다래, 생것",166,23.4,7.3,0.1,34.2
meat(medium fat),"민어, 튀긴것(튀김옷)",221,18.2,12.67,7.54,44.0
meat(medium fat),"민어 부산물, 알, 염장",293,35.1,15.9,0,22.8
meat(medium fat),"방어, 자연산, 어린것, 생것",163,21,8,0.3,38.1
meat(medium fat),"밴댕이젓, 염절임",114,16.4,4.9,0,48.8
meat(medium fat),"벤자리, 생것",122,17,5.3,0.3,47.1
meat(medium fat),"병어, 생것",128,16.4,6.3,0.3,48.8
meat(medium fat),"붕어, 참붕어, 생것",116,16.4,5.1,0.1,48.8
meat(medium fat),"삼치, 구운것",202,23.6,10.8,0.1,33.9
meat(medium fat),"상어, 곱상어, 생것",161,16.2,10,0.3,49.4
meat(medium fat),"송어, 통조림",157,18.2,8.8,0,44.0
meat(medium fat),"송어, 무지개송어, 냉동",159,20,8,0.3,40.0
meat(medium fat),"숭어 부산물, 알, 소금에 절여 말린것",423,40.4,28.9,0.3,19.8
meat(medium fat),"애꼬치, 생것",148,18.9,7.2,0.1,42.3
meat(medium fat),"연어, 훈제",169,23,7.7,0.3,34.8
meat(medium fat),"연어 부산물, 알, 생것",245,25,15,0.8,32.0
meat(medium fat),"연어 부산물, 알, 염장",252,27.3,13.6,3.4,29.3
meat(medium fat),"웅어, 생것",165,15.9,10.8,0,50.3
meat(medium fat),"은어, 양식, 생것",152,17.8,7.9,0.6,44.9
meat(medium fat),"은어, 양식, 구운것",241,22.6,15.1,0.8,35.4
meat(medium fat),"은어 부산물, 내장, 구운것",194,23,10.1,0.4,34.8
meat(medium fat),"임연수어, 생것",150,19.6,7.1,0.5,40.8
meat(medium fat),"임연수어, 반건조",176,20.6,9.4,0.1,38.8
meat(medium fat),"잉어, 삶은것",208,19.2,13.4,0.2,41.7
meat(medium fat),"장어, 갯장어, 생것",167,17.9,9.9,0.4,44.7
meat(medium fat),"장어, 먹장어, 생것",128,16.9,6,0.4,47.3
meat(medium fat),"장어, 뱀장어, 구운것",236,23.65,14.95,0,33.8
meat(medium fat),"장어, 뱀장어, 조미, 구운것",258,30.4,14.2,0,26.3
meat(medium fat),"장어, 붕장어, 생것",133,17.4,6.4,0.3,46.0
meat(medium fat),"장어, 붕장어, 냉동",155,19,8,0.5,42.1
meat(medium fat),"장어 부산물, 뱀장어, 간, 생것",195,12.2,6.3,22.3,65.6
meat(medium fat),"전갱이, 조미반건조 ",168,20.2,8.8,0.1,39.6
meat(medium fat),"전갱이, 조미반건조, 구운것",220,24.6,12.3,0.1,32.5
meat(medium fat),"전어젓, 염절임",128,15.3,6.7,0.5,52.3
meat(medium fat),"정어리, 생것",168,20,9.1,0.2,40.0
meat(medium fat),"정어리, 말린것",331,45.6,14.8,0.6,17.5
meat(medium fat),"정어리, 삶은것",178,22.4,8.7,0.2,35.7
meat(medium fat),"정어리, 구운것",196,25.3,9.4,0.2,31.6
meat(medium fat),"정어리, 조미통조림",125,16.5,5.9,0.4,48.5
meat(medium fat),"조기(참조기), 굴비, 소금에 절여 말린것",328,44.4,15.2,0.4,18.0
meat(medium fat),"쥐치, 말쥐치, 생것",143,17.3,7.62,0,46.2
meat(medium fat),"청어, 말린것",410,44.5,24,1,18.0
meat(medium fat),"청어, 염장",157,17.5,9,0.2,45.7
meat(medium fat),"풀반지, 생것",164,16.9,10.1,0.2,47.3
meat(medium fat),"향어, 생것",174,16.8,11.2,0.3,47.6
meat(medium fat),"황새치, 구운것",172,23.45,7.93,0,34.1
meat(medium fat),"황새치젓, 염절임",121,15.7,4.8,2.7,51.0
meat(medium fat),"가리비, 튀긴것",216,18.07,10.94,10.13,44.3
meat(medium fat),"굴, 냉동",95,10,3.6,5.1,80.0
meat(medium fat),"굴젓, 어리굴젓, 염절임",92,8.6,2.7,8.1,93.0
meat(medium fat),"전복, 튀긴것",189,19.63,6.78,11.05,40.8
meat(medium fat),"전복 부산물, 내장, 생것",148,18.5,7.6,0,43.2
meat(medium fat),"전복젓, 염절임",99,12.2,4.8,1,65.6
meat(medium fat),"가재, 바닷가재, 생것",124,15.5,5.1,3,51.6
meat(medium fat),"게, 대게, 영덕, 생것",60,8.4,2.6,0.1,95.2
meat(medium fat),"새우, 꽃새우, 튀긴것(튀김옷)",242,21.39,12.28,11.47,37.4
meat(medium fat),"새우 볶음, 말린것, 볶은것",331,23.4,13.4,28.5,34.2
meat(medium fat),"성게, 생것",152,15.8,8.5,2,50.6
meat(medium fat),"성게, 통조림",140,14,5.1,8.9,57.1
meat(medium fat),"성게, 보라성게, 생것",177,16.1,8.7,7.6,49.7
meat(medium fat),"성게 부산물, 보라성게, 알",177,16.1,8.7,7.6,49.7
meat(medium fat),"오징어, 튀긴것",175,17.94,7.48,7.79,44.6
meat(medium fat),크릴 페이스트,128,16.5,5.5,2,48.5
meat(medium fat),"어묵, 튀긴것",167,11.44,4.49,20.69,69.9
meat(high fat),"두부, 유부, 튀긴것",381,20.4,31,3.9,39.2
meat(high fat),"두유, 대두",70,4.4,3.6,4.7,181.8
meat(high fat),"고래고기, 복부정육, 생것",298,22,22.5,0.3,36.4
meat(high fat),"고래고기, 복부지육, 생것",449,25.5,37.6,0.3,31.4
meat(high fat),"고래 부산물, 꼬리, 냉동",246,13.8,20.6,0.3,58.0
meat(high fat),"닭고기, 날개, 튀긴것(튀김옷)",324,19.87,21.81,10.94,40.3
meat(high fat),"닭고기, 날개, 튀긴것(밀가루옷)",321,26.11,22.16,2.39,30.6
meat(high fat),"닭고기, 다리, 튀긴것(튀김옷)",317,18,20.8,13.7,44.4
meat(high fat),"닭고기, 목, 생것",331,15.05,29.59,0,53.2
meat(high fat),"닭고기, 목, 튀긴것(튀김옷)",330,19.82,23.52,8.7,40.4
meat(high fat),"닭고기, 살코기, 튀긴것(튀김옷)",289,22.54,17.35,9.42,35.5
meat(high fat),"닭고기, 토종, 껍질",339,12.6,31.6,0,63.5
meat(high fat),"닭 부산물, 심장, 생것",207,14.5,15.5,0,55.2
meat(high fat),"닭 부산물, 닭발, 삶은것",215,19.4,14.6,0.2,41.2
meat(high fat),"돼지고기, 갈비, 생것",230,17.77,17.06,0,45.0
meat(high fat),"돼지고기, 등심(등심덧살), 생것",199,17.51,13.74,0,45.7
meat(high fat),"돼지고기, 목심(목심살), 생것",221,17.21,16.36,0,46.5
meat(high fat),"돼지고기, 삼겹살(등갈비), 생것",231,17.88,17.19,0,44.7
meat(high fat),"돼지고기, 삼겹살(삼겹살), 생것",379,13.27,35.7,0,60.3
meat(high fat),"돼지고기, 삼겹살(삼겹살), 삶은것",414,19.58,36.64,0,40.9
meat(high fat),"돼지고기, 삼겹살(삼겹살), 구운것(팬)",469,22.78,41.2,0,35.1
meat(high fat),"돼지고기, 삼겹살(오돌삼겹), 생것",316,17.12,26.89,0,46.7
meat(high fat),"돼지고기, 앞다리(항정살), 생것",298,17.98,24.52,0,44.5
meat(high fat),"돼지 부산물, 대장, 생것",219,8.7,20.2,0,92.0
meat(high fat),"돼지 부산물, 대장, 삶은것",179,11.7,13.8,0,68.4
meat(high fat),"돼지 부산물, 맹장, 생것",358,10.8,34.6,0,74.1
meat(high fat),"돼지 부산물, 머리고기, 생것",272,20.6,20.3,0.2,38.8
meat(high fat),"돼지 부산물, 소장(곱창), 삶은것",171,14,11.9,0,57.1
meat(high fat),"돼지 부산물, 직장, 생것",332,9.9,32.1,0,80.8
meat(high fat),"소시지, 말린것",497,25.4,43,2.1,31.5
meat(high fat),"소시지, 리용소시지",192,14.9,13.1,3.7,53.7
meat(high fat),"소시지, 볼로냐소시지",251,12.5,21,2.9,64.0
meat(high fat),"소시지, 위너(비엔나)소시지",254,15.27,16.91,9.35,52.4
meat(high fat),"소시지, 이탈리안소시지",346,14.25,31.33,0.65,56.1
meat(high fat),"소시지, 프랑크푸르트소시지",244,14.41,17.7,5.9,55.5
meat(high fat),"햄, 런천미트햄",201,15.43,11.53,7.92,51.8
meat(high fat),"햄, 본인햄",219,16.7,16.6,0.8,47.9
meat(high fat),"햄, 어깨살햄",231,16.1,18.2,0.6,49.7
meat(high fat),"포크커틀릿, 냉동",286,9.4,18.2,21,85.1
meat(high fat),"포크커틀릿, 냉동, 튀긴것",367,16.6,23.7,21.2,48.2
meat(high fat),베이컨,245,15.27,17.12,6.44,52.4
meat(high fat),"베이컨, 구운것",548,35.73,43.27,1.35,22.4
meat(high fat),순대,116,1.4,5.8,15,571.4
meat(high fat),"순대, 찐것",180,6.5,8.5,19.5,123.1
meat(high fat),"멧돼지고기, 생것",268,18.8,19.8,0.5,42.6
meat(high fat),"소고기, 미국산, 갈비, 구운것(오븐)",400,22.57,33.7,0,35.4
meat(high fat),"소고기, 미국산, 목심(목심살), 생것",265,16.98,21.31,0,47.1
meat(high fat),"소고기, 미국산, 목심(목심살), 삶은것",359,26.37,27.26,0,30.3
meat(high fat),"소고기, 한우, 갈비, 생것",298,16.5,24.4,1.9,48.5
meat(high fat),"소고기, 한우, 등심, 생것",304,15.61,26.3,0,51.2
meat(high fat),"소고기, 한우, 등심, 삶은것",348,25.2,26.63,0,31.7
meat(high fat),"소고기, 한우, 등심, 구운것(팬)",387,18.9,33.99,0,42.3
meat(high fat),"소고기, 한우, 양지, 생것",247,18.58,18.59,0,43.1
meat(high fat),"소고기, 한우, 양지, 구운것(팬)",302,25.6,21.32,0,31.3
meat(high fat),"소고기, 한우(1++등급), 등심, 생것",278,16.9,22.8,0,47.3
meat(high fat),"소고기, 한우(1++등급), 목심(목심살), 생것",218,18.8,15.3,0,42.6
meat(high fat),"소고기, 한우(1++등급), 양지(업진살), 생것",253,17.8,19.6,0,44.9
meat(high fat),"소고기, 한우(1++등급), 채끝(채끝살), 생것",265,17.8,21,0,44.9
meat(high fat),"소고기, 한우(1등급), 갈비(꽃갈비), 생것",383,15.35,35.25,0,52.1
meat(high fat),"소고기, 한우(1등급), 갈비(본갈비), 생것",303,16.94,25.61,0,47.2
meat(high fat),"소고기, 한우(1등급), 갈비(안창살), 생것",284,15.46,24.16,0,51.7
meat(high fat),"소고기, 한우(1등급), 갈비(참갈비), 생것",390,15.89,35.76,0,50.3
meat(high fat),"소고기, 한우(1등급), 갈비(토시살), 생것",264,19.63,20.02,0,40.8
meat(high fat),"소고기, 한우(1등급), 등심(꽃등심살), 생것",326,17.76,27.73,0,45.0
meat(high fat),"소고기, 한우(1등급), 등심(살치살), 생것",309,16.68,26.39,0,48.0
meat(high fat),"소고기, 한우(1등급), 등심(아래등심살), 생것",256,17.79,19.96,0,45.0
meat(high fat),"소고기, 한우(1등급), 등심(윗등심살), 생것",301,20.05,23.89,0,39.9
meat(high fat),"소고기, 한우(1등급), 사태(아롱사태), 생것",256,21.47,18.27,0,37.3
meat(high fat),"소고기, 한우(1등급), 살코기, 생것",207,18.62,14.09,0,43.0
meat(high fat),"소고기, 한우(1등급), 앞다리(부채살), 생것",261,20.7,19.14,0,38.6
meat(high fat),"소고기, 한우(1등급), 양지(앞치마살), 생것",284,18.69,22.65,0,42.8
meat(high fat),"소고기, 한우(1등급), 양지(업진살), 생것",251,21.15,17.87,0,37.8
meat(high fat),"소고기, 한우(1등급), 양지(업진안살), 생것",221,17.76,16.07,0,45.0
meat(high fat),"소고기, 한우(1등급), 양지(차돌박이), 생것",394,16.45,35.94,0,48.6
meat(high fat),"소고기, 한우(1등급), 채끝(채끝살), 생것",218,17.59,15.79,0,45.5
meat(high fat),"소고기, 한우(1+등급), 갈비(꽃갈비), 생것",391,14.7,36.43,0,54.4
meat(high fat),"소고기, 한우(1+등급), 갈비(본갈비), 생것",375,14.69,34.65,0,54.5
meat(high fat),"소고기, 한우(1+등급), 갈비(안창살), 생것",310,15.25,27.19,0,52.5
meat(high fat),"소고기, 한우(1+등급), 갈비(참갈비), 생것",361,14.82,32.98,0,54.0
meat(high fat),"소고기, 한우(1+등급), 갈비(토시살), 생것",261,15.69,21.52,0,51.0
meat(high fat),"소고기, 한우(1+등급), 등심(꽃등심살), 생것",332,17.1,28.72,0,46.8
meat(high fat),"소고기, 한우(1+등급), 등심(살치살), 생것",390,13.27,36.91,0,60.3
meat(high fat),"소고기, 한우(1+등급), 등심(아래등심살), 생것",288,18.23,23.34,0,43.9
meat(high fat),"소고기, 한우(1+등급), 등심(윗등심살), 생것",329,16.98,28.45,0,47.1
meat(high fat),"소고기, 한우(1+등급), 사태(아롱사태), 생것",236,20.6,16.38,0,38.8
meat(high fat),"소고기, 한우(1+등급), 살코기, 생것",223,17.06,16.97,0,46.9
meat(high fat),"소고기, 한우(1+등급), 앞다리(갈비덧살), 생것",210,18.61,14.51,0,43.0
meat(high fat),"소고기, 한우(1+등급), 앞다리(부채살), 생것",244,17.42,18.84,0,45.9
meat(high fat),"소고기, 한우(1+등급), 양지(앞치마살), 생것",289,17.38,23.81,0,46.0
meat(high fat),"소고기, 한우(1+등급), 양지(업진살), 생것",325,15.09,28.85,0,53.0
meat(high fat),"소고기, 한우(1+등급), 양지(업진안살), 생것",297,18.09,24.35,0,44.2
meat(high fat),"소고기, 한우(1+등급), 양지(차돌박이), 생것",467,11.16,46.45,0,71.7
meat(high fat),"소고기, 한우(1+등급), 양지(치마살), 생것",235,17.64,17.69,0,45.4
meat(high fat),"소고기, 한우(1+등급), 채끝(채끝살), 생것",305,17.92,25.29,0,44.6
meat(high fat),"소 부산물, 골, 생것",120,9.3,8.2,1.7,86.0
meat(high fat),"소 부산물, 꼬리, 생것",246,17.4,19,0,46.0
meat(high fat),"소 부산물, 소장(곱창), 생것",141,9,11.3,0.1,88.9
meat(high fat),"소 부산물, 혀, 생것",186,13,14.5,0,61.5
meat(high fat),"소 부산물, 미국산, 골, 끓인것",151,11.67,10.53,1.48,68.6
meat(high fat),"소 부산물, 미국산, 혀, 끓인것",284,19.29,22.3,0,41.5
meat(high fat),"소 부산물, 외국산, 대장, 생것",162,9.3,13,0,86.0
meat(high fat),"송아지 부산물, 미국산, 골, 생것",118,10.32,8.21,0,77.5
meat(high fat),"송아지 부산물, 미국산, 골, 삶은것",136,11.48,9.63,0,69.7
meat(high fat),"양고기, 외국산, 다리, 생것",224,18.8,15.3,0.1,42.6
meat(high fat),"어린양고기, 미국산, 갈비, 생것",372,14.52,34.39,0,55.1
meat(high fat),"어린양고기, 미국산, 갈비, 구운것(오븐)",359,21.12,29.82,0,37.9
meat(high fat),"어린양고기, 미국산, 어깨, 생것",264,16.58,21.45,0,48.3
meat(high fat),"어린양고기, 미국산, 어깨, 삶은것",344,28.68,24.55,0,27.9
meat(high fat),"어린양고기, 미국산, 어깨, 구운것(오븐)",276,22.51,19.97,0,35.5
meat(high fat),"오리고기, 껍질 포함, 생것",242,16.63,18.99,0,48.1
meat(high fat),"오리고기, 산오리, 생것",257,14.4,21.6,0.2,55.6
meat(high fat),"오리고기, 집오리, 생것",318,16,27.6,0.1,50.0
meat(high fat),"자라고기, 외국산, 생것",197,16.4,13.4,0.5,48.8
meat(high fat),"거위알, 생것",193,13.2,14.1,0.8,60.6
meat(high fat),"거위알, 삶은것",187,12.7,13.6,1,63.0
meat(high fat),"기러기알, 생것",193,12.3,13.9,2.4,65.0
meat(high fat),"기러기알, 삶은것",212,13.1,14.9,4,61.1
meat(high fat),"달걀, 난황, 생것",318,14.7,23.45,9.32,54.4
meat(high fat),"달걀, 난황, 삶은것",362,15.5,30.5,2.1,51.6
meat(high fat),"달걀, 유정란, 생것",156,10.9,8.4,8.1,73.4
meat(high fat),"달걀, 유정란, 난황, 생것",333,14.4,20.3,21.7,55.6
meat(high fat),"달걀부침, 부친것",206,15.12,13.46,3.79,52.9
meat(high fat),"수란, 중탕",164,12.3,11.7,0.2,65.0
meat(high fat),"스크램블에그, 볶은것",149,9.99,10.98,1.61,80.1
meat(high fat),"메추리알, 생것",157,12.81,10.05,2.02,62.5
meat(high fat),"메추리알, 삶은것",156,12.2,9.75,3.1,65.6
meat(high fat),"오리알, 생것",193,12.5,14,2,64.0
meat(high fat),"피단, 오리알",175,13.4,12.2,0.5,59.7
meat(high fat),"청둥오리알, 생것",178,13.6,12.3,1,58.8
meat(high fat),"갈치젓, 염절임",179,10.4,14.9,0,76.9
meat(high fat),"고등어, 반건조",348,18.7,28.5,0.2,42.8
meat(high fat),"고등어, 삶은것",309,22.6,22.6,0.3,35.4
meat(high fat),"고등어, 구운것",318,25.2,22.4,0.4,31.7
meat(high fat),"고등어, 자반고등어, 염장",251,18.99,16.14,6.36,42.1
meat(high fat),"고등어, 서해, 생것",278,20.26,21.23,0,39.5
meat(high fat),"꽁치, 구운것",270,23.9,17.9,0.2,33.5
meat(high fat),"노랑촉수, 생것",238,7.1,19.5,8.3,112.7
meat(high fat),"다랑어, 참다랑어, 지방육, 생것",344,20.1,27.5,0.1,39.8
meat(high fat),"돔 부산물, 껍질, 생것",184,16.6,12.5,0,48.2
meat(high fat),"멸치, 유지통조림",173,9.7,14.6,0,82.5
meat(high fat),"멸치젓, 염절임",164,14.1,11.2,0.6,56.7
meat(high fat),"방어, 구운것",304,26.2,20.4,0.3,30.5
meat(high fat),"방어, 훈제통조림",320,27.2,22.4,0.5,29.4
meat(high fat),"방어, 양식, 어린것, 생것",251,20.7,17.2,0.3,38.6
meat(high fat),"밴댕이, 생것",219,16.3,16.5,0.2,49.1
meat(high fat),"상어, 돔발상어, 생것",293,17.9,23.5,1.1,44.7
meat(high fat),"상어, 악상어, 생것",276,13.4,24.2,0,59.7
meat(high fat),"상어 부산물, 알, 생것",321,25,23.5,0.5,32.0
meat(high fat),"아귀 부산물, 간, 생것",416,10.4,39,5.2,76.9
meat(high fat),"은어 부산물, 내장, 생것",206,9.5,17.5,0.3,84.2
meat(high fat),"은어 부산물, 양식, 내장, 생것",550,7.4,55,0.3,108.1
meat(high fat),"은어 부산물, 양식, 내장, 구운것",558,15.2,52.3,0.4,52.6
meat(high fat),"은어젓, 내장젓, 염절임",128,11.4,8.5,0.8,70.2
meat(high fat),"임연수어, 염장",194,17.6,13.1,0.2,45.5
meat(high fat),"잉어 부산물, 내장, 생것",287,9,25.9,1.3,88.9
meat(high fat),"장어, 양념, 구운것",294,20.5,20.4,5.9,39.0
meat(high fat),"장어, 뱀장어, 생것",217,14.4,17.1,0.3,55.6
meat(high fat),"장어, 칠성장어, 생것",253,21,18,0.3,38.1
meat(high fat),"장어, 칠성장어, 말린것",406,33.3,29,0.5,24.0
meat(high fat),"장어 부산물, 붕장어, 뼈, 튀긴것",556,14.8,41.3,31.2,54.1
meat(high fat),"정어리, 유지통조림",274,21.7,20,0.3,36.9
meat(high fat),"청어, 생것",207,16.3,15.1,0.4,49.1
meat(high fat),"청어, 훈제",305,23.1,22.1,0,34.6
meat(high fat),"굴, 튀긴것(튀김옷)",199,8.77,12.58,11.62,91.2
meat(high fat),"굴, 훈제통조림",301,13.9,24.4,5.6,57.6
meat(high fat),"게, 참게, 생것",171,14.4,12,0.2,55.6
meat(high fat),"새우 튀김용, 튀긴것",263,6.43,13.53,28.84,124.4
meat(high fat),"오징어 튀김, 튀긴것",308,11.9,18.1,24.3,67.2
meat(high fat),어묵 국물,3,0.09,0.15,0.4,8888.9
meat(high fat),어육소시지,175,9.01,7.45,17.79,88.8
vegetables,"가시오갈피, 순, 생것",76,5.67,0.7,15.87,18.9
vegetables,"가시오갈피, 순, 데친것",63,5.25,0.85,11.99,25.0
vegetables,"가죽나물, 생것",50,5.33,0.41,9.46,31.7
vegetables,"가죽나물, 말린것",287,22.4,6.3,50.2,6.0
vegetables,"가죽나물, 데친것",49,4.78,0.51,9.25,32.4
vegetables,"가지, 생것",19,1.13,0.03,4.36,68.8
vegetables,"가지, 말린것",290,14.53,2.4,65.59,4.6
vegetables,"가지, 데친것",19,1,0.1,4.4,68.2
vegetables,"가지, 염절임",23,1.4,0.1,5.2,57.7
vegetables,"갓, 생것",36,3.5,0.2,7.3,41.1
vegetables,"갓, 돌산갓, 생것",24,2.66,0.28,4.22,71.1
vegetables,"강남조나물, 말린것",223,25.8,0.4,43.8,6.8
vegetables,"갬추, 말린것",286,17.7,2,63.2,4.7
vegetables,"갯기름나물, 노지, 생것",41,3.94,0.32,7.95,37.7
vegetables,"갯기름나물, 노지, 데친것",44,3.62,0.57,8.54,35.1
vegetables,"갯기름나물, 노지, 어린것, 생것",53,4.17,0.52,10.91,27.5
vegetables,"갯기름나물, 노지, 어린것, 데친것",53,4.11,0.8,10.17,29.5
vegetables,"갯기름나물, 하우스, 생것",50,3.12,0.44,10.75,27.9
vegetables,"갯기름나물, 하우스, 데친것",51,3.41,0.79,10.24,29.3
vegetables,"갯기름나물, 하우스, 어린것, 생것",44,3.59,0.36,9.12,32.9
vegetables,"갯기름나물, 하우스, 어린것, 데친것",47,4.28,0.69,8.64,34.7
vegetables,"게걸무, 생것",59,2.3,0.1,13.6,22.1
vegetables,"게걸무, 잎, 생것",23,2.7,0.2,4.2,71.4
vegetables,"겨자, 적겨자, 생것",24,3.03,0.17,4.19,71.6
vegetables,"고구마, 잎, 생것",47,3.92,0.44,7.34,40.9
vegetables,"고구마, 잎, 데친것",41,3.44,0.62,5.8,51.7
vegetables,"고구마, 줄기, 생것",18,0.76,0.02,3.63,82.6
vegetables,"고구마, 줄기, 말린것",332,6.07,0.47,75.53,4.0
vegetables,"고구마, 줄기, 삶아서 말린것, 삶은것",23,0.48,0.11,4.96,60.5
vegetables,"고구마, 줄기, 삶은것",14,0.45,0.05,2.88,104.2
vegetables,"고구마, 줄기, 데친것",17,0.59,0.05,3.64,82.4
vegetables,"고구마, 줄기(껍질 포함), 생것",23,0.88,0.03,4.96,60.5
vegetables,"고구마, 줄기(껍질 포함), 삶아서 말린것, 삶은것",33,0.52,0.06,7.51,39.9
vegetables,"고구마, 줄기(껍질 포함), 데친것",22,0.74,0.06,4.65,64.5
vegetables,"고들빼기, 생것",29,1.6,0.5,5.8,51.7
vegetables,"고들빼기, 이고들빼기, 생것",39,2.5,0.4,8.2,36.6
vegetables,"고려엉겅퀴(곤드레), 야생, 말린것",275,20.5,3.9,53.9,5.6
vegetables,"고려엉겅퀴(곤드레), 재배, 말린것",310,5.6,2.8,76.4,3.9
vegetables,"고려엉겅퀴(곤드레), 재래종, 잎, 생것",32,3.47,1.38,3.29,91.2
vegetables,"고비, 야생, 생것",28,1.72,0.13,6.41,46.8
vegetables,"고비, 야생, 말린것, 삶은것",31,1.68,0.26,6.84,43.9
vegetables,"고비, 야생, 삶아서 말린것",299,17.95,1.7,67.51,4.4
vegetables,"고비, 야생, 삶은것",25,1.58,0.16,5.43,55.2
vegetables,"고비, 재배, 생것",28,2.1,0.1,6.2,48.4
vegetables,"고사리, 생것",22,2.9,0.17,3.8,78.9
vegetables,"고사리, 말린것",261,25.8,0.6,54.2,5.5
vegetables,"고사리, 삶아서 말린것",273,27.85,0.34,56.58,5.3
vegetables,"고사리, 데친것",21,2.74,0.24,3.55,84.5
vegetables,"고수(향채), 생것",33,4.6,0.2,5.6,53.6
vegetables,"고추, 풋고추, 생것",29,1.71,0.19,6.42,46.7
vegetables,"고추, 싹, 생것",21,2.6,0.1,3.8,78.9
vegetables,"고추, 빨간색, 생것",85,3.12,2.73,15.34,19.6
vegetables,"고추, 빨간색, 말린것",312,13.88,8.71,57.47,5.2
vegetables,"고추, 꽈리고추, 생것",33,1.83,0.13,7.78,38.6
vegetables,"고추, 녹광, 빨간색, 생것",41,2.3,1.3,6.9,43.5
vegetables,"고추, 시레나, 연두색, 생것",19,1,0.1,4.4,68.2
vegetables,"고추, 녹광, 초록색, 생것",27,1.4,0.8,4.6,65.2
vegetables,"고추, 수비초, 빨간색, 생것",77,3.7,1.8,14.8,20.3
vegetables,"고추, 시레나, 초록색, 생것",23,1.1,0.1,5.4,55.6
vegetables,"고추, 오이고추, 생것",23,0.99,0.12,5.51,54.4
vegetables,"고추, 재래종, 풋고추, 생것",26,1.2,0.2,6,50.0
vegetables,"고추, 청양고추, 생것",31,1.53,0.3,7.01,42.8
vegetables,"고춧잎, 생것",45,5.07,0.32,8.49,35.3
vegetables,"고춧잎, 말린것",266,35.43,5.3,37.8,7.9
vegetables,"고춧잎, 삶아서 말린것, 삶은것",41,4.41,0.76,6.66,45.0
vegetables,"고춧잎, 데친것",51,5.16,0.85,8.9,33.7
vegetables,고추장아찌,124,2.39,0.63,31.49,9.5
vegetables,"고추냉이, 뿌리, 생것",103,2.9,0.5,23.7,12.7
vegetables,"고추냉이, 잎, 생것",36,3.7,0.5,6.3,47.6
vegetables,"고추냉이, 줄기, 생것",24,0.9,0.2,5.6,53.6
vegetables,"곤달비, 생것",42,1.8,0.5,9.4,31.9
vegetables,"곤달비, 데친것",35,1.8,0.5,7.4,40.5
vegetables,"곰취, 생것",32,3.04,0.49,5.77,52.0
vegetables,"곰취, 데친것",35,3.28,0.64,6.09,49.3
vegetables,"곰취, 야생, 말린것",307,5.1,4.9,71.1,4.2
vegetables,"곰취, 재배, 말린것",306,8,4.7,69.2,4.3
vegetables,"공심채, 생것",17,2.2,0.1,3.1,96.8
vegetables,"공심채, 데친것",21,2.2,0.1,4.1,73.2
vegetables,"꾸지뽕, 잎, 생것",85,5.06,0.51,19.18,15.6
vegetables,"꾸지뽕, 잎, 말린것",282,18.25,1.4,63.3,4.7
vegetables,"꾸지뽕, 잎, 삶은것",61,3.93,0.51,13.15,22.8
vegetables,"구기자, 순, 재래종, 생것",50,6.27,1.08,7.05,42.6
vegetables,"구기자, 잎, 재래종, 생것",56,6.33,1.57,7.77,38.6
vegetables,"국화꽃, 생것",27,1.4,0,6.5,46.2
vegetables,"국화꽃, 말린것",292,11.6,0.2,73.5,4.1
vegetables,"국화꽃, 데친것",23,1,0,5.7,52.6
vegetables,"근대, 생것",18,1.78,0.2,3.28,91.5
vegetables,"근대, 데친것",20,1.79,0.2,3.95,75.9
vegetables,"김치, 갓 김치",37,3.26,0.4,7.07,42.4
vegetables,"김치, 고들빼기",88,4.1,2.7,11.9,25.2
vegetables,"김치, 깍두기",38,1.43,0.19,7.54,39.8
vegetables,"김치, 나박 김치",7,0.34,0.07,1.27,236.2
vegetables,"김치, 동치미",8,0.33,0.01,1.77,169.5
vegetables,"김치, 배추 김치",25,1.4,0.2,4.4,68.2
